valid_time,latitude,longitude,number,expver,t2m,d2m,u10,v10,tp
2025-03-01 12:00:00,23.25,105.5,0,0001,291.67944,288.97363,0.8579712,1.65094,0.0
2025-03-01 12:00:00,23.25,105.75,0,0001,292.8103,289.29395,0.67926025,2.3345337,0.0
2025-03-01 12:00:00,23.25,106.0,0,0001,293.10913,289.6338,0.6021118,3.9067993,4.7683716e-07
2025-03-01 12:00:00,23.25,106.25,0,0001,292.69507,290.13184,0.9351196,5.6480103,9.536743e-07
2025-03-01 12:00:00,23.25,106.5,0,0001,293.00757,290.63574,1.4839478,6.3345337,6.67572e-06
2025-03-01 12:00:00,23.25,106.75,0,0001,294.23218,291.0459,1.5337524,6.0493774,2.3841858e-06
2025-03-01 12:00:00,23.25,107.0,0,0001,295.49194,291.38965,1.0796509,6.2993774,1.4305115e-06
2025-03-01 12:00:00,23.25,107.25,0,0001,296.4685,291.42285,0.6880493,6.2144165,4.7683716e-07
2025-03-01 12:00:00,23.25,107.5,0,0001,296.87866,291.43066,-0.12249756,5.6792603,0.0
2025-03-01 12:00:00,23.25,107.75,0,0001,297.0349,291.5752,-1.7562866,5.081604,0.0
2025-03-01 12:00:00,23.25,108.0,0,0001,296.23218,291.37598,-2.6859741,5.74469,0.0
2025-03-01 12:00:00,23.25,108.25,0,0001,295.3181,290.7998,-2.0609741,5.539612,4.7683716e-07
2025-03-01 12:00:00,23.25,108.5,0,0001,294.7849,290.52637,-0.89886475,5.148987,0.0
2025-03-01 12:00:00,23.25,108.75,0,0001,295.39233,290.59668,-0.184021,5.5317993,0.0
2025-03-01 12:00:00,23.25,109.0,0,0001,296.1521,290.77637,0.14508057,5.7808228,0.0
2025-03-01 12:00:00,23.25,109.25,0,0001,296.53296,290.9756,-0.030700684,5.3638306,0.0
2025-03-01 12:00:00,23.25,109.5,0,0001,296.76147,291.23535,-0.038513184,4.3530884,0.0
2025-03-01 12:00:00,23.25,109.75,0,0001,297.3064,291.4209,-0.21429443,3.9751587,0.0
2025-03-01 12:00:00,23.25,110.0,0,0001,297.17163,291.3037,-0.31195068,3.4995728,0.0
2025-03-01 12:00:00,23.0,102.0,0,0001,295.90015,281.92285,0.40093994,2.065979,0.0
2025-03-01 12:00:00,23.0,102.25,0,0001,294.07983,283.33496,0.6929321,2.49469,0.0
2025-03-01 12:00:00,23.0,102.5,0,0001,295.35132,282.47754,0.5532837,2.1880493,0.0
2025-03-01 12:00:00,23.0,102.75,0,0001,297.82202,280.72363,0.22418213,1.6636353,0.0
2025-03-01 12:00:00,23.0,103.0,0,0001,297.11304,280.72168,0.24468994,1.7202759,0.0
2025-03-01 12:00:00,23.0,103.25,0,0001,297.03296,282.37793,0.09527588,1.7007446,0.0
2025-03-01 12:00:00,23.0,103.5,0,0001,297.02905,284.31152,-0.39105225,1.7339478,0.0
2025-03-01 12:00:00,23.0,103.75,0,0001,295.32983,285.72168,-0.902771,1.4898071,0.0
2025-03-01 12:00:00,23.0,104.0,0,0001,292.5857,287.1123,-0.2230835,2.6616821,0.0
2025-03-01 12:00:00,23.0,104.25,0,0001,292.5896,288.26855,-0.24945068,2.5630493,0.0
2025-03-01 12:00:00,23.0,104.5,0,0001,291.98218,288.2666,-0.006286621,2.3081665,0.0
2025-03-01 12:00:00,23.0,104.75,0,0001,291.29663,288.9463,-0.44476318,2.2632446,0.0
2025-03-01 12:00:00,23.0,105.0,0,0001,292.53882,289.4131,-0.42034912,2.2925415,0.0
2025-03-01 12:00:00,23.0,105.25,0,0001,291.9978,289.32715,0.63531494,2.0054321,0.0
2025-03-01 12:00:00,23.0,105.5,0,0001,292.72827,289.73535,0.74468994,1.6050415,0.0
2025-03-01 12:00:00,23.0,105.75,0,0001,293.28882,289.96777,0.41070557,1.6450806,4.7683716e-07
2025-03-01 12:00:00,23.0,106.0,0,0001,293.4646,290.27246,0.30914307,3.0288696,9.536743e-07
2025-03-01 12:00:00,23.0,106.25,0,0001,293.46265,290.81152,0.67144775,4.3823853,3.33786e-06
2025-03-01 12:00:00,23.0,106.5,0,0001,294.04663,291.25684,1.1460571,5.2105103,1.1920929e-05
2025-03-01 12:00:00,23.0,106.75,0,0001,294.9607,291.52637,1.112854,5.1099243,3.33786e-06
2025-03-01 12:00:00,23.0,107.0,0,0001,295.2185,291.57324,1.1226196,5.470276,9.536743e-07
2025-03-01 12:00:00,23.0,107.25,0,0001,296.0525,291.5791,0.78863525,5.485901,0.0
2025-03-01 12:00:00,23.0,107.5,0,0001,296.35522,291.5498,0.10992432,5.248596,0.0
2025-03-01 12:00:00,23.0,107.75,0,0001,296.5271,291.69043,-1.3920288,4.8823853,0.0
2025-03-01 12:00:00,23.0,108.0,0,0001,296.0193,291.55762,-2.3285522,5.5317993,0.0
2025-03-01 12:00:00,23.0,108.25,0,0001,295.41577,291.07324,-2.1674194,5.8667603,0.0
2025-03-01 12:00:00,23.0,108.5,0,0001,294.9978,290.75684,-1.0971069,5.5425415,0.0
2025-03-01 12:00:00,23.0,108.75,0,0001,295.35913,290.70605,-0.30706787,5.3120728,0.0
2025-03-01 12:00:00,23.0,109.0,0,0001,296.07202,290.8838,0.019104004,5.378479,0.0
2025-03-01 12:00:00,23.0,109.25,0,0001,296.57007,291.2959,0.27008057,4.7993774,0.0
2025-03-01 12:00:00,23.0,109.5,0,0001,297.12476,291.66113,0.33746338,4.123596,0.0
2025-03-01 12:00:00,23.0,109.75,0,0001,297.6306,291.67676,-0.33441162,4.2095337,0.0
2025-03-01 12:00:00,23.0,110.0,0,0001,296.8025,291.33105,-0.9203491,4.6050415,0.0
2025-03-01 12:00:00,22.75,102.0,0,0001,296.4314,284.69824,0.23980713,2.0249634,0.0
2025-03-01 12:00:00,22.75,102.25,0,0001,296.25757,285.60254,-0.40863037,1.9692993,0.0
2025-03-01 12:00:00,22.75,102.5,0,0001,295.18726,284.66895,0.4048462,2.1626587,0.0
2025-03-01 12:00:00,22.75,102.75,0,0001,294.94702,283.7295,0.9673462,1.9995728,0.0
2025-03-01 12:00:00,22.75,103.0,0,0001,298.20093,282.2627,0.13922119,1.7622681,0.0
2025-03-01 12:00:00,22.75,103.25,0,0001,297.67944,284.09473,0.28961182,1.800354,0.0
2025-03-01 12:00:00,22.75,103.5,0,0001,297.97827,285.85645,-0.11175537,1.5825806,0.0
2025-03-01 12:00:00,22.75,103.75,0,0001,296.00757,287.9873,-1.3588257,1.0015259,0.0
2025-03-01 12:00:00,22.75,104.0,0,0001,295.18726,290.2041,-1.5726929,1.112854,0.0
2025-03-01 12:00:00,22.75,104.25,0,0001,292.8728,289.76855,-1.2601929,1.5142212,0.0
2025-03-01 12:00:00,22.75,104.5,0,0001,291.8806,289.24316,-0.34710693,1.5464478,9.536743e-07
2025-03-01 12:00:00,22.75,104.75,0,0001,292.3142,289.59473,-0.11663818,2.0708618,4.7683716e-07
2025-03-01 12:00:00,22.75,105.0,0,0001,293.58374,290.09863,0.062072754,2.2593384,0.0
2025-03-01 12:00:00,22.75,105.25,0,0001,293.48608,290.18457,0.597229,2.1382446,0.0
2025-03-01 12:00:00,22.75,105.5,0,0001,293.72046,290.61035,0.41949463,1.6177368,0.0
2025-03-01 12:00:00,22.75,105.75,0,0001,293.78687,290.71387,0.456604,1.8394165,5.2452087e-06
2025-03-01 12:00:00,22.75,106.0,0,0001,294.27905,291.0205,0.440979,2.3931274,4.7683716e-06
2025-03-01 12:00:00,22.75,106.25,0,0001,294.5818,291.49316,0.659729,3.4282837,2.3841858e-06
2025-03-01 12:00:00,22.75,106.5,0,0001,295.1814,291.7588,0.9224243,4.1900024,6.198883e-06
2025-03-01 12:00:00,22.75,106.75,0,0001,295.67944,291.84277,0.8755493,4.4155884,0.0
2025-03-01 12:00:00,22.75,107.0,0,0001,296.06226,291.8955,0.8530884,4.695862,0.0
2025-03-01 12:00:00,22.75,107.25,0,0001,296.1775,291.84668,0.659729,4.5562134,1.4305115e-06
2025-03-01 12:00:00,22.75,107.5,0,0001,296.1443,291.6123,-0.054138184,4.3823853,4.7683716e-07
2025-03-01 12:00:00,22.75,107.75,0,0001,296.03296,291.84277,-1.2533569,4.6382446,4.7683716e-07
2025-03-01 12:00:00,22.75,108.0,0,0001,295.48022,291.6338,-1.996521,5.349182,0.0
2025-03-01 12:00:00,22.75,108.25,0,0001,294.99,291.18848,-1.9828491,5.8482056,0.0
2025-03-01 12:00:00,22.75,108.5,0,0001,295.01343,290.95996,-1.0726929,5.817932,0.0
2025-03-01 12:00:00,22.75,108.75,0,0001,295.53296,290.73145,-0.19378662,5.472229,0.0
2025-03-01 12:00:00,22.75,109.0,0,0001,296.15015,291.06738,0.17144775,5.034729,0.0
2025-03-01 12:00:00,22.75,109.25,0,0001,296.69116,291.62207,0.29644775,4.673401,0.0
2025-03-01 12:00:00,22.75,109.5,0,0001,297.15405,291.9834,0.019104004,4.3901978,0.0
2025-03-01 12:00:00,22.75,109.75,0,0001,297.30054,291.91504,-0.9574585,4.5933228,0.0
2025-03-01 12:00:00,22.75,110.0,0,0001,296.4939,291.5244,-1.6947632,4.9468384,0.0
